"National Survey for Wales > Population health > Adult lifestyles > Adult lifestyles by local authority and health board, 2020-21 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adult lifestyles by local authority and health board, 2020-21 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure: Percentage of adults (16+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardisation: Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year: 2021-22 & 2022-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales ,Betsi Cadwaladr University Health Board ,Powys Teaching Health Board ,Hywel Dda University Health Board ,Swansea Bay University Health Board ,Cwm Taf Morgannwg University Health Board ,Aneurin Bevan University Health Board ,Cardiff and Vale University Health Board ,Isle of Anglesey ,Gwynedd ,Conwy ,Denbighshire ,Flintshire ,Wrexham ,Powys ,Ceredigion ,Pembrokeshire ,Carmarthenshire ,Swansea ,Neath Port Talbot ,Bridgend ,Vale of Glamorgan ,Cardiff ,Rhondda Cynon Taf ,Merthyr Tydfil ,Caerphilly ,Blaenau Gwent ,Torfaen ,Monmouthshire ,Newport 
Smoking & e-cigarette use ,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Smoking & e-cigarette use ,Smoker ,12.804476,11.601053,9.790505,12.350213,14.249292,14.701569,12.478475,13.231783,8.930633,15.689536,6.249371,12.677595,11.033268,13.874593,9.790505,11.020658,11.800312,13.229595,12.742789,16.895204,11.370779,13.715613,13.058074,15.997204,17.628585,10.833124,11.916946,16.571366,10.176425,13.693677
,Ex-smoker ,29.571726,30.542842,35.329562,33.550348,29.282208,27.389577,28.651005,26.754848,33.170456,22.536077,28.360054,31.671749,39.611313,27.119371,35.329562,31.362487,34.850237,33.532864,30.80303,26.611148,24.534134,29.754953,25.67772,28.171609,31.234522,24.397426,33.549503,31.568661,32.145294,27.451926
,Never smoked ,57.623798,57.856106,54.879933,54.099439,56.4685,57.908854,58.87052,60.013368,57.898911,61.774387,65.390575,55.650656,49.355419,59.006036,54.879933,57.616855,53.349451,53.237541,56.454181,56.493648,64.095087,56.529434,61.264206,55.831187,51.136893,64.76945,54.533552,51.859973,57.678281,58.854397
,E-cigarette user ,6.846985,6.432692,4.352253,5.822393,9.667285,8.591223,5.8607,6.28987,0.9908,6.14491,3.61872,4.731609,10.177878,8.852399,4.352253,4.339446,4.467678,7.297518,9.218479,10.455536,7.153501,7.760575,5.763012,9.408091,8.820819,5.579765,8.306584,8.447221,3.260138,5.117065
Alcohol ,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alcohol ,Average weekly alcohol consumption - none ,17.985054,19.240478,15.962461,16.424394,18.52001,18.086887,18.784241,16.545404,25.002596,20.121012,20.438411,17.493131,18.888303,16.198151,15.962461,13.476166,12.939007,19.862379,17.992862,19.447932,18.81381,13.303292,17.700506,15.249029,28.239075,18.912368,22.712258,21.341719,13.717195,18.494046
,"Average weekly alcohol consumption - some, up to 14 units (moderate drinkers) ",65.517877,64.009269,67.944748,65.921077,67.15729,66.530466,64.366939,65.796446,60.683715,60.04552,62.908056,67.907679,62.407709,69.228938,67.944748,69.061796,65.66025,64.879382,66.222998,68.801892,66.943986,65.81796,65.78878,68.548354,56.910253,63.914382,63.424124,59.063113,62.789223,69.667927
,"Average weekly alcohol consumption - hazardous (over 14 units, up to 50 (m) / 35 (f)) ",14.007998,14.202348,13.774711,14.765161,11.672558,12.32374,14.629534,15.841853,12.926421,18.443952,14.826443,11.772575,15.369557,10.902676,13.774711,15.730901,18.142168,12.164775,12.787166,9.710549,12.520367,17.943673,15.093015,12.095829,12.782257,14.392615,12.812722,17.069315,19.728952,10.92942
,Average weekly alcohol consumption - harmful (over 50 (m) / 35 (f) units) ,2.489071,2.547905,2.318081,2.889368,2.650142,3.058907,2.219286,1.816297,1.387269,1.389516,1.82709,2.826615,3.334431,3.670234,2.318081,1.731137,3.258575,3.093464,2.996973,2.039627,1.721836,2.935075,1.417698,4.106788,2.068415,2.780635,1.050896,2.525853,3.76463,0.908607
,Average weekly alcohol consumption - above 14 units (over guidelines) ,16.497069,16.750253,16.092792,17.654529,14.3227,15.382647,16.84882,17.65815,14.313689,19.833468,16.653533,14.59919,18.703988,14.572911,16.092792,17.462038,21.400743,15.258239,15.784139,11.750176,14.242204,20.878748,16.510713,16.202617,14.850671,17.173251,13.863618,19.595168,23.493582,11.838027
