"NAME",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Isle of Anglesey",28.9,29.4,26.1,15.8,29,23.1,20.4,26.1,14.3,13.8
"Gwynedd",11.6,24.7,26.9,19.9,13.9,27.9,15,12,19.7,14.4
"Conwy",19.9,17.6,12.4,24.8,17.7,16.5,16.1,21.2,20.5,13.8
"Denbighshire",19.2,33.5,13.6,21.4,23,19,15.5,27.3,13.2,17.1
"Flintshire",10.7,17.8,13.1,17.6,17.7,23.2,15.5,19.5,16.7,20.5
"Wrexham",19,26.9,24.9,21.9,24.1,20.4,15,16.1,21.7,24.5
"Ceredigion",13.8,9.3,24.3,19.4,17.2,19.9,12.1,25.6,15,10.7
"Pembrokeshire",11.2,13,9.5,19.4,23.4,12.3,12.8,8.7,14.7,16.4
"Carmarthenshire",26.1,28.4,19.6,23.2,19.2,17.5,17.9,13,17.6,15.6
"Swansea",23.3,22.5,22.4,18.4,17.1,14.8,14.3,18.7,17.4,22.3
"Neath Port Talbot",16,22.6,21.6,21.6,13.4,25.2,19.5,22.7,22,20
"Bridgend",15.4,21.5,21.2,21.4,15.7,17.9,19.8,19.3,15.5,19.1
"Vale of Glamorgan",20,20.4,18.2,23.5,16.4,22.8,20.1,15.6,14.1,16.1
"Cardiff",26.8,24.6,24.2,28.7,18.1,19.9,18.2,12.4,17.2,19.1
"Rhondda Cynon Taf",21.5,24.2,21.1,18.2,23.8,19.4,18.7,23.7,16.9,15.6
"Caerphilly",22,24.6,28.8,20.1,22.8,22.3,21.3,20.7,12.7,21.7
"Blaenau Gwent",31.5,21.2,13.2,29.3,23.2,21.9,27.7,14.2,22.8,18.3
"Torfaen",22,15,28,18.7,17.4,28.3,14.4,17.2,20.7,14.7
"Monmouthshire",17.7,9.3,18.7,15.1,24.6,20.8,17.7,18.1,10.1,13.9
"Newport",21.1,25.7,18.6,20.3,23.2,16,18,17.8,19.9,13.8
"Powys",18.8,17.8,15.7,12.8,19.4,20.4,11.6,11.9,15.3,18.7
"Merthyr Tydfil",13.1,44.5,16.8,22,30.1,37.2,15.1,35.4,24.3,20.8
