"NAME",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Isle of Anglesey",66.7,75.3,92.4,80.7,97.3,82.4,54.5,73.3,97,74.4
"Gwynedd",60.2,71.5,95.3,83.4,107.5,108.6,89.7,90.5,79,89.9
"Conwy",92,80.5,94.5,91.3,118.6,115.9,100.4,116.3,108.3,113.5
"Denbighshire",118.5,165.6,123.1,153.6,164.7,142.2,133.3,120.1,137.6,137
"Flintshire",80.9,92.7,111.9,98.4,97.4,105.3,101.3,107.5,94.2,97.1
"Wrexham",89.6,148.9,132.1,114.8,125.8,127.9,102.1,129.8,110.5,101.8
"Ceredigion",67.3,70.8,62.7,80.6,47.3,98.4,77.4,83.5,62,85.9
"Pembrokeshire",75.6,118.2,118.3,111.6,95.8,114.4,109.8,95.5,108.7,107.3
"Carmarthenshire",77.7,100.1,106.3,120,109.3,122.4,116.9,126.6,111.3,124.8
"Swansea",90.4,112.4,108.2,129.7,127.8,129.5,107.7,125.6,103.1,115.8
"Neath Port Talbot",111.9,138.6,121.3,120.9,157.8,165,130,124.8,110.9,104.9
"Bridgend",136.3,183.4,158,154.6,181.4,160,148.9,159.5,108.6,108.8
"Vale of Glamorgan",94.2,116.3,110.2,108.9,118.7,123,117.8,121,98.9,108
"Cardiff",98.6,115.7,110.1,123.1,132.8,146.4,129.1,127.5,112.3,134.7
"Rhondda Cynon Taf",128.4,139.2,116.3,123,146.9,129.2,133.5,149.7,127,136
"Caerphilly",106.2,122.4,121.5,107.8,123.5,134.9,92.7,124.2,106.7,98.3
"Blaenau Gwent",130.2,135.5,120.6,121.9,135.3,176.8,151.6,147.4,114,158.8
"Torfaen",73.8,114.6,94.9,109.1,128.2,125.3,122.8,131.5,121.9,134.5
"Monmouthshire",80.2,101,76.6,81.8,93.3,104.7,94.7,84.6,116.5,99.5
"Newport",92.7,110.5,112.4,130,138.4,141.4,118.9,127.3,100.5,137.6
"Powys",68.7,92.2,97.3,91.6,87.1,118.8,96.3,91.2,93.2,91.4
"Merthyr Tydfil",99.2,121.5,107.6,145.2,141,156.8,122.7,133,114,141.5
