"NAME","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19","2019/20","2020/21","2021/22","2022/23"
"Isle of Anglesey",123.5,121.8,119.4,122.1,96.2,99.4,109.9,94.8,129.2,100.5
"Gwynedd",115.6,145.6,132.2,115.1,110.9,102.4,126.1,109.9,113.4,109.7
"Conwy",131.7,108.1,108.4,117.9,115.8,120.6,114.7,102.4,119.5,103.6
"Denbighshire",105.5,116.3,112.6,129.1,120.5,131.3,132.1,102.3,115.1,115.7
"Flintshire",112.9,128.2,114.2,138.3,103.2,133.6,113.9,103,133.3,118.8
"Wrexham",127.4,118.9,97.6,140.3,114.2,105.5,126.9,94.5,147.5,120.6
"Ceredigion",121.7,149,127.8,118.8,88.1,128,81.1,79.5,110.3,99.6
"Pembrokeshire",121.3,171.3,141,139.5,121.6,147.5,120.8,117.9,148.1,131.6
"Carmarthenshire",122.9,135.3,136.9,126.4,119,131.8,121.7,85.4,140.7,117.9
"Swansea",140.5,129.2,138.3,121.4,126.2,130.7,145.2,122.1,136,100.7
"Neath Port Talbot",129.9,149.5,132.4,124.4,120.8,124.8,131,105.9,132.3,103.7
"Bridgend",105.4,158,122.3,136.1,119.4,129.3,115,94.4,143.7,121.9
"Vale of Glamorgan",131.8,147.8,129.7,127.1,138.9,150.5,202.6,147.7,139,124.6
"Cardiff",136.6,142.6,133.6,150.7,127.7,150,161,131.8,121,105.3
"Rhondda Cynon Taf",190.5,169.7,148.1,142.7,135.2,127.8,127.9,96.1,107.8,84.4
"Caerphilly",217.3,206.6,209.4,186,204.6,191.1,182.8,121.6,159.8,155.2
"Blaenau Gwent",140.2,214,174.6,177.4,213.4,189.3,185,179.1,178.5,176.5
"Torfaen",147.1,160,147.4,144.5,119.3,120.7,111.7,107.2,143.8,134.2
"Monmouthshire",106.1,132.3,111.8,95.6,84.8,82,87,86.6,99.7,86.9
"Newport",146.8,147.7,122.3,136.4,120.4,103.1,108.5,126.6,137.7,141
"Powys",112.4,118,98.8,103.2,107.1,118.9,128.4,117.5,130.9,109.7
"Merthyr Tydfil",216.6,187.6,224.4,190.3,139,145.7,149.4,98.2,156.4,69.7
